22:51:24:849 [ALWAYS]	GUDE Logging Started
22:51:24:850 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:51:24:850 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:51:24:850 [ERROR]	Initialize resume cache pointer failure
22:51:24:850 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:51:24:850 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:51:25:980 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:51:25:980 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:51:25:980 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:51:25:981 [ERROR]	Initialize resume cache pointer failure
22:51:25:981 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:51:25:981 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
